<t underline = true>Таблица стрельбы из 120-мм миномета<br />
ЗАРЯД 2-й</t><br />
Rng  	Elev 	Elev -100 m<br />
550  	353  	1,1<br />
600  	364  	0,8<br />
650  	375  	0,2<br />
700  	387  	-0,4<br />
750  	398  	-1,0<br />
800  	410  	-1,5<br />
850  	421  	-1,8<br />
900  	431  	-2,1<br />
950  	441  	-2,2<br />
1000 	451 	-2,3<br />
1050 	461 	-2,4<br />
1100 	471 	-2,5<br />
1150 	480 	-2,7<br />
1200 	490 	-3,0<br />
1250 	501 	-3,3<br />
1300 	511 	-3,8<br />
1350 	523 	-4,4<br />
1400 	534 	-5,1<br />
1450 	546 	-5,9<br />
1500 	559 	-6,6<br />
1550 	572 	-7,4<br />
1600 	586 	-8,1<br />
1650 	600 	-8,8<br />
1700 	614 	-9,3<br />
1750 	628 	-9,6<br />
1800 	642 	-9,9<br />
1850 	657 	-10,0<br />
1900 	671 	-10,1<br />
1950 	686 	-10,3<br />
2000 	700 	-10,8<br />
2050 	716 	-11,9<br />
2100 	732 	-13,9<br />
2150 	750 	-17,3<br />
2200 	770 	-22,6<br />
2250 	793 	-30,5<br />
2300 	821 	-42,0<br />
2350 	855 	-57,9<br />
2400 	896 	-79,5
