<t underline = true>Таблица стрельбы из 120-мм миномета<br />
ЗАРЯД 4-й - окончание</t><br />
Rng 	Elev	Elev -100 m<br />
3450	615 	-7,6<br />
3500	622 	-8,1<br />
3550	628 	-8,7<br />
3600	635 	-9,2<br />
3650	641 	-9,8<br />
3700	648 	-10,5<br />
3750	654 	-11,1<br />
3800	661 	-11,9<br />
3850	667 	-12,7<br />
3900	674 	-13,5<br />
3950	681 	-14,4<br />
4000	687 	-15,5<br />
4050	694 	-16,6<br />
4100	701 	-17,8<br />
4150	708 	-19,1<br />
4200	716 	-20,6<br />
4250	724 	-22,3<br />
4300	732 	-24,1<br />
4350	740 	-26,2<br />
4400	750 	-28,4<br />
4450	760 	-31,0<br />
4500	770 	-33,8<br />
4550	782 	-36,9<br />
4600	795 	-40,3<br />
4650	809 	-44,1<br />
4700	824 	-48,4<br />
4750	841 	-53,1<br />
4800	860 	-58,3<br />
4850	881 	-64,0<br />
4900	904 	-70,3<br />
4950	930 	-77,3<br />
5000	959 	-84,9<br />
5050	991 	-93,3<br />
