<t underline = true>Таблица стрельбы из 120-мм миномета<br />
ЗАРЯД 4-й</t><br />
Rng 	Elev	Elev -100 m<br />
1100	354 	-1,3<br />
1150	359 	-1,4<br />
1200	364 	-1,4<br />
1250	369 	-1,5<br />
1300	375 	-1,5<br />
1350	381 	-1,5<br />
1400	386 	-1,4<br />
1450	392 	-1,4<br />
1500	397 	-1,3<br />
1550	403 	-1,3<br />
1600	408 	-1,2<br />
1650	414 	-1,1<br />
1700	419 	-1,1<br />
1750	425 	-1,0<br />
1800	430 	-0,9<br />
1850	435 	-0,9<br />
1900	440 	-0,8<br />
1950	445 	-0,8<br />
2000	450 	-0,7<br />
2050	455 	-0,7<br />
2100	460 	-0,7<br />
2150	465 	-0,7<br />
2200	470 	-0,8<br />
2250	475 	-0,8<br />
2300	480 	-0,9<br />
2350	485 	-1,0<br />
2400	490 	-1,1<br />
2450	495 	-1,2<br />
2500	501 	-1,3<br />
2550	506 	-1,5<br />
2600	511 	-1,7<br />
2650	517 	-1,9<br />
2700	522 	-2,1<br />
2750	528 	-2,4<br />
2800	534 	-2,6<br />
2850	540 	-2,9<br />
2900	546 	-3,2<br />
2950	552 	-3,6<br />
3000	558 	-3,9<br />
3050	564 	-4,2<br />
3100	570 	-4,6<br />
3150	577 	-5,0<br />
3200	583 	-5,4<br />
3250	589 	-5,8<br />
3300	596 	-6,2<br />
3350	602 	-6,7<br />
3400	609 	-7,1<br />
см. на обороте<br />
