<t underline = true>Таблица стрельбы из 120-мм миномета<br />
ЗАРЯД 6-й - продолжение</t><br />
Rng 	Elev	Elev -100 m<br />
4100	512 	0,4<br />
4150	516 	0,5<br />
4200	520 	0,5<br />
4250	523 	0,6<br />
4300	527 	0,7<br />
4350	531 	0,7<br />
4400	535 	0,7<br />
4450	539 	0,7<br />
4500	543 	0,7<br />
4550	547 	0,7<br />
4600	551 	0,7<br />
4650	555 	0,7<br />
4700	560 	0,6<br />
4750	564 	0,5<br />
4800	568 	0,5<br />
4850	573 	0,4<br />
4900	577 	0,3<br />
4950	581 	0,2<br />
5000	586 	0,1<br />
5050	591 	-0,1<br />
5100	595 	-0,2<br />
5150	600 	-0,3<br />
5200	604 	-0,4<br />
5250	609 	-0,6<br />
5300	614 	-0,7<br />
5350	618 	-0,8<br />
5400	623 	-0,9<br />
5450	627 	-1,1<br />
5500	632 	-1,2<br />
5550	637 	-1,3<br />
5600	641 	-1,4<br />
5650	646 	-1,4<br />
5700	651 	-1,5<br />
5750	655 	-1,6<br />
5800	660 	-1,6<br />
5850	664 	-1,7<br />
5900	669 	-1,7<br />
5950	673 	-1,7<br />
6000	678 	-1,7<br />
6050	682 	-1,7<br />
6100	687 	-1,7<br />
6150	691 	-1,7<br />
6200	695 	-1,7<br />
6250	700 	-1,6<br />
6300	704 	-1,6<br />
6350	709 	-1,6<br />
6400	714 	-1,6<br />
см. на обороте
