<t underline = true>M224 Firing Table<br />
CHARGE 4<br /></t>
Rng 	Elev	Elev -100 m
<br />650 	1496	0,8
<br />700 	1488	1,1
<br />750 	1479	1,3
<br />800 	1470	1,4
<br />850 	1460	1,5
<br />900 	1450	1,5
<br />950 	1440	1,6
<br />1000	1431	1,6
<br />1050	1422	1,6
<br />1100	1413	1,7
<br />1150	1404	1,8
<br />1200	1395	1,9
<br />1250	1387	2,0
<br />1300	1379	2,2
<br />1350	1371	2,5
<br />1400	1363	2,7
<br />1450	1354	3,0
<br />1500	1346	3,3
<br />1550	1337	3,7
<br />1600	1328	4,0
<br />1650	1319	4,3
<br />1700	1309	4,6
<br />1750	1299	4,9
<br />1800	1289	5,2
<br />1850	1278	5,4
<br />1900	1267	5,6
<br />1950	1256	5,7
<br />2000	1244	5,7
<br />2050	1232	5,8
<br />2100	1220	5,7
<br />2150	1208	5,7
<br />2200	1196	5,6
<br />2250	1184	5,5
<br />2300	1172	5,4
<br />2350	1160	5,4
<br />2400	1148	5,6
<br />2450	1136	5,9
<br />2500	1124	6,4
<br />2550	1111	7,2
<br />2600	1099	8,5
<br />2650	1085	10,2
<br />2700	1070	12,6
<br />2750	1054	15,7
<br />2800	1036	19,8
<br />2850	1016	24,9
<br />2900	992 	31,3
<br />3000	930 	48,7
<br />3100	844 	73,9
